FIW Survey Edition*,Year(s) Under Review**,Total Countries,Number of F Countries,% of F Countries,Number of PF Countries,% of PF Countries,Number of NF Countries,% of NF Countries
2022,2021,195,83,42.56%,56,28.72%,56,28.72%
2021,2020,195,82,42.05%,59,30.26%,54,27.69%
2020,2019,195,83,42.56%,63,32.31%,49,25.13%
2019,2018,195,86,44.10%,59,30.26%,50,25.64%
2018,2017,195,88,45.13%,58,29.74%,49,25.13%
2017,2016,195,87,44.62%,59,30.26%,49,25.13%
2016,2015,195,86,44.10%,59,30.26%,50,25.64%
2015,2014,195,89,45.64%,55,28.21%,51,26.15%
2014,2013,195,88,45.13%,59,30.26%,48,24.62%
2013,2012,195,90,46.15%,58,29.74%,47,24.10%
2012,2011,195,87,44.62%,60,30.77%,48,24.62%
2011,2010,194,87,44.85%,60,30.93%,47,24.23%
2010,2009,194,89,45.88%,58,29.90%,47,24.23%
2009,2008,193,89,46.11%,62,32.12%,42,21.76%
2008,2007,193,90,46.63%,60,31.09%,43,22.28%
2007,"Dec 1, 2005-Dec 31, 2006",193,90,46.63%,58,30.05%,45,23.32%
2006,"Dec 1, 2004-Nov 30, 2005",192,89,46.35%,58,30.21%,45,23.44%
2005,"Dec 1, 2003-Nov 30, 2004",192,89,46.35%,54,28.13%,49,25.52%
2004,"Jan 1, 2003-Nov 30, 2003",192,88,45.83%,55,28.65%,49,25.52%
2003,2002,192,89,46.35%,55,28.65%,48,25.00%
2001-2002,2001,192,85,44.27%,59,30.73%,48,25.00%
2000-2001,2000,192,86,44.79%,58,30.21%,48,25.00%
1999-2000,1999,192,85,44.27%,60,31.25%,47,24.48%
1998-1999,1998,191,87,45.55%,54,28.27%,50,26.18%
1997-1998,1997,191,81,42.41%,58,30.37%,52,27.23%
1996-1997,1996,191,79,41.36%,59,30.89%,53,27.75%
1995-1996,1995,191,76,39.79%,62,32.46%,53,27.75%
1994-1995,1994,191,76,39.79%,61,31.94%,54,28.27%
1993-1994,1993,190,72,37.89%,63,33.16%,55,28.95%
1992-1993,1992,186,75,40.32%,73,39.25%,38,20.43%
1991-1992,1991,182,75,41.21%,65,35.71%,42,23.08%
1990-1991,1990,164,64,39.02%,50,30.49%,50,30.49%
1989-1990,Nov 1988-Dec 1989,166,60,36.14%,44,26.51%,62,37.35%
1988-1989,Nov 1987-Nov 1988,165,59,35.76%,44,26.67%,62,37.58%
1987-1988,Nov 1986-Nov 1987,165,57,34.55%,57,34.55%,51,30.91%
1986-1987,Nov 1985-Nov 1986,165,56,33.94%,56,33.94%,53,32.12%
1985-1986,Nov 1984-Nov 1985,165,56,33.94%,54,32.73%,55,33.33%
1984-1985,Nov 1983-Nov 1984,165,53,32.12%,57,34.55%,55,33.33%
1983-1984,"Aug 2, 1982-Nov 1983",164,52,31.71%,54,32.93%,58,35.37%
1982,"Jan 1, 1981-Aug 1, 1982",163,54,33.13%,45,27.61%,64,39.26%
1981,1980,161,51,31.68%,50,31.06%,60,37.27%
1980,1979,160,51,31.88%,53,33.13%,56,35.00%
1979,1978,157,47,29.94%,55,35.03%,55,35.03%
1978,1977,154,43,27.92%,48,31.17%,63,40.91%
Jan-Feb 1977,1976,158,42,26.58%,49,31.01%,67,42.41%
Jan-Feb 1976,1975,158,40,25.32%,53,33.54%,65,41.14%
Jan-Feb 1975,1974,152,41,26.97%,48,31.58%,63,41.45%
Jan-Feb 1974,1973,150,44,29.33%,41,27.33%,65,43.33%
Jan-Feb 1973***,1972,148,44,29.73%,36,24.32%,68,45.95%